51.408484,-1.7013326,'Hornet Oak',https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=23054, A live Oak With ‘ancient’ status. (The tree is publicly accessible.)
51.815626,-2.4763938,'King',https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=27708, A live Sweet chestnut With ‘ancient’ status. (The tree is on private land but visible.)
53.20131525,-1.083207663,'Simon Foster's Oak' / 'Old Simon',https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=190919,A dead (but still significant) Oak With ‘ancient’ status. (The tree is publicly accessible.)
53.20223547,-1.066053111,'Stumpy',https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=191127, A live Pedunculate oak With ‘ancient’ status. (The tree is publicly accessible.)
53.20302795,-1.067771924,'The Minor Oak',https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=191144, A live Sessile oak With ‘ancient’ status. (The tree is publicly accessible.)
52.83966467,1.404896572,'The Old Oak',https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=49874, A live Oak With ‘ancient’ status. (The tree is publicly accessible but may be subject to opening times / entrance fees.)
51.624413,-0.1291814,(Chandos Oak) Minchenden Oak,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=4479, A live Sessile oak With ‘ancient’ status. (The tree is publicly accessible but may be subject to opening times / entrance fees.)
56.049674,-2.7111925,Act of Union Beeches,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=153636, A live Beech With ‘ancient’ status. (The tree is publicly accessible under the Scottish Outdoor Access code.)
54.00737694,-1.192755956,Adam,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=250463, A live Pedunculate oak With ‘ancient’ status. (The tree is publicly accessible but not on open land - check the surroundings.)
52.234168,-2.6387281,Adam and Eve,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=4015, A live Sessile oak With ‘ancient’ status. (The tree is on private land but visible.)
52.23406,-2.6387265,Adam and Eve,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=4016, A live Sessile oak With ‘ancient’ status. (The tree is on private land but visible.)
