latitude,longitude,label,link
52.14109982812967, 1.417800652674502, Mermaid S Pond - Near Rendlesham, https://www.fairyist.com/fairy-places/east-anglian-fairies/mermaid-s-pond-rendlesham-suffolk/
52.946576956126144, 1.2130771416080728, The Sherringham Mermaid, https://www.norfolklive.co.uk/news/norfolk-news/mythical-mermaid-haunts-sheringham-church-5806928
50.47039421289275, -5.044017955399568, Mawgan Porth, https://cornishmaritimechurches.co.uk/mermaids-sighted-in-cornwall/
21.78509542793476, -158.74690507514893, Many mermaid-like creatures fill Hawaiian mythology,https://kauaicandleco.com/f/from-n%C4%81maka-to-kauai-candle-co-the-history-of-mermaids-in-hawaii
50.197173389858115, -5.580456315469423, Mermaid of Zennor (Folktale), https://en.wikipedia.org/wiki/Mermaid_of_Zennor
53.62245743674784, -2.8685647903733313, The Mermaid of Martin Mere, https://www.spookyisles.com/martin-mere-mermaid/
53.394930515252646, -1.88946138158759, Mermaid of Kinder Scount, https://en.wikipedia.org/wiki/Mermaid%27s_Pool_(Peak_District)
53.35405810206517, -2.3867525369726916, Rostherne Mere Mermaid, https://www.mysteriousbritain.co.uk/folklore/rostherne-mere/
53.44653164367799, -3.040525708569221, Wirral Mermaid, https://www.liverpoolmuseums.org.uk/stories/mermaids-in-the-mersey

