51.38096	-2.35945	How Bath Was Discovered	http://antiq.wiki/?s20-l324	Prince Bladud, afflicted with leprosy, discovered the hot springs near Bath when his pigs rolled in the hot mud and were cured of their skin diseases. Cured himself, Bladud built a city at the site of his healing, which became known as Bath, a city famed for its healing waters even before the Romans popularized it as Aquæ Sulis.
52.27929	-1.58489	Guy, of Guy's Cliff	http://antiq.wiki/?s20-l583	Guy, Earl of Warwick, known for his valorous deeds, including the defeat of a giant and the legendary Dun Cow, chose to live a life of solitude disguised as a hermit near his home in Warwick. Before his death, he sent his wedding ring to Lady Phyllis, who joined him in his final moments, marking a poignant close to their story, which echoes through the halls of Warwick's heritage.
51.56635	-1.59566	Wayland Smith and His Cave	http://antiq.wiki/?s20-l754	Wayland Smith, believed to be a deity related to Thor, settled in Pagan England and eventually took up a blacksmith's trade, offering to shoe horses for a silver penny at a remote cave near the ancient Ridgeway in the Berkshire Downs. Though few people visit now, it's said that if you follow the correct procedure, you might still have your horse shod by the legendary smith for a sixpence.
51.4312	-1.56152	The Story of Wild Darrell	http://antiq.wiki/?s20-l1109	In the dead of night, a village nurse was taken under mysterious circumstances to a manor where she witnessed a masked man kill a newborn baby, only to later realize that the incident was real when she discovered a grim token from the scene. The manor was identified as Littlecote, and "Wild Darrell, " believed responsible for the heinous crime, escaped death through bribery but could not escape the spectral hauntings that led to his own untimely end.
52.86001	-4.10909	Bronwen and the Starling	http://antiq.wiki/?s19-l413	Bronwen, a British princess, was married to the Irish king Matholwch, but after a series of insults and mistreatment, she was relegated to being a cook in his palace. Unable to communicate her plight to her brother Bran due to interference from the Irish, Bronwen ingeniously sent a message via a starling, prompting Bran to launch a rescue mission which led to a tragic battle where Bran died, and Bronwen survived him only briefly before passing away, broken-hearted.
52.95223	-4.38128	The Swan of Glasfryn	http://antiq.wiki/?s19-l488	In Carnarvonshire, North Wales, a village girl named Grace neglected her duty of covering the well she tended, leading to a flood that created Llyn Glasfryn, and as a punishment, she was transformed into a swan, doomed to swim the lake until the Day of Judgment. The region, full of legends and historic tales, is also known for its scenic beauty, from its dramatic coastlines to its mountains, attracting sportsmen, artists, and those seeking tranquillity.
50.22143	-5.24641	The Spectre of Rosewarne	http://antiq.wiki/?s19-l1010	Ezekiel Grosse, an avaricious attorney who obtained Rosewarne through shady means, was haunted by a ghostly figure promising gold, leading him to great wealth but eventual isolation and misery due to the spectre's persistent presence at his gatherings. In the end, Ezekiel was forced to give up his wealth to his clerk to rid himself of the ghost, which ultimately led to his lonely death, allegedly attended by demons at his funeral.
50.59244	-3.44384	The Parson and the Clerk	http://antiq.wiki/?s18-l238	A parson known for his violent temper became lost on a stormy night while journeying to visit a dying bishop at Dawlish, guided by his parish clerk. After a night of revelry with mysterious companions at the behest of a stranger guide, the parson and clerk were transformed into rocks off the Dawlish coast, legend attributing this to their encounter with demons.
50.35984	-4.16712	The Demon Who Helped Drake	http://antiq.wiki/?s18-l401	Drake's friendly demon magically transformed wood chips into gunboats to help him defend against the Spanish Armada. The demon also sped up the construction of Buckland Abbey's outbuildings, startling a servant who observed the spectral builders.
50.01982	-5.97175	The Lost Land of Lyonesse	http://antiq.wiki/?s18-l633	The legendary lost land of Lyonesse, reputedly a fertile region extending from Cornwall to the Scillies, was submerged by the sea during a devastating storm in 1099, leaving behind only the Scilly Islands and the rocky remains known as the Seven Stones. According to tradition, this land gradually succumbed to the sea, with its final inundation being documented in tales of survivors like Trevilian, who narrowly escaped on horseback, and is remembered through stories of submerged villages and relics sometimes caught in fishermen’s nets.
50.51657	-4.45813	The Stone Men of St. Cleer	http://antiq.wiki/?s17-l231	In ancient time, the people of St. Cleer were so fervent about their traditional game of Hurling that they neglected their Sunday church services, prompting the local saint to transform those who defied him into standing stones, known as "The Hurlers, " still visible today on Craddock Moor. This transformation served as a permanent symbol of the consequences of impiety, casting a timeless reminder within the wild, expansive landscapes of Cornwall.
