latitude,longitude,label,link
50.554532,-4.610557,The Beast of Bodmin,https://www.cornwalls.co.uk/myths-legends/beast_of_bodmin.htm
54.18891475649595, -2.847928550547229,Big cat tracks (2003)
54.385649814362004, -2.900508925355951,Orrest Head - Large panther-like cat spotted - (2000)
-37.57918388229717, 147.43385448263035,Gippsland Phantom Cats,https://gippslandia.com.au/articles/the-initial-encounter
-33.353520251856594, 150.45907160024075,Blue Mountains Panther,https://en.wikipedia.org/wiki/Blue_Mountains_panther
12.014455537081489, 76.25689657116595, `Saya` Black Panther,https://rohininilekaniphilanthropies.org/resources/encounters-with-kabinis-black-panther/
-43.6, 172,The Canterbury Panther,https://en.wikipedia.org/wiki/Canterbury_Panther
52.87953603695864, -91.62389842125332, Ontario Cougars,https://northernontario.travel/sunset-country/unraveling-mystery-mountain-lions-ontario
51.79994334045492, -4.730177890939978,Narberth Puma sighting (2021),https://pumawatch.co.uk/narberth-puma/
53.2204, -2.9089, Lots of big cat sightings around Chichester
53.124668162460196, -4.116562371233432, Llanberis (2016),https://www.dailypost.co.uk/news/north-wales-news/big-cat-sighting-near-llanberis-11156442
53.15424603209846, -4.178322296507103,Penisarwaen (2021),https://pumawatch.co.uk/penisarwaen-panther/
51.642, -2.675, Multiple sightings of a Big Cat (2000),http://news.bbc.co.uk/1/hi/wales/895643.stm
50.09155187004708, -5.310765868589963,Porthleven (2019),https://www.itv.com/news/westcountry/2019-01-18/man-swiped-at-by-panther-like-big-cat-in-cornwall
53.1020248,-0.7089514 The Lindsey Leopard at Stapleford Woods https://lincolnshirefolktalesproject.com/2024/02/20/the-lindsey-leopard Sightings of a roaming “Lindsey Leopard” big cat have been reported across Lincolnshire since the 1990s, with claims ranging from mutilated livestock to large paw prints judged by the RSPCA to resemble those of a puma or lynx. Reports span a wide area and continue sporadically, giving rise to a modern wandering-beast legend. #big-cat#attrib
