@id,@lat,@lon,name
8079995,53.2432021,-1.4992986,
21096730,51.1166375,-0.2608024,
24797253,51.8049242,0.4140101,
25345248,51.6530490,-2.5142654,Hill Book Box
25345259,51.6828780,-2.4647210,
25725056,51.8949979,-2.3464945,
26166057,53.3794002,-2.4856250,Church Road Book Swap
26533681,52.2284266,-1.0799432,
26609758,52.5859431,-1.8720088,The Exchange
26729870,52.1026871,-0.9548030,
27471708,53.9174511,-1.5657405,
27603871,52.7488196,-1.8208120,Kings Bromley Book Club Book Exchange
28802646,51.2561602,1.0157748,Chartham Village Phone Box Library
29517725,51.1800651,1.0649334,
29588058,51.5897707,-2.5319253,Alveston Book Exchange
29940483,51.2985988,1.2373885,
30050735,51.5496182,-2.4634418,Swap Box
30948669,51.3598821,-2.6630473,
31764105,50.8200469,-2.3414530,
32857505,51.2747866,0.5795282,
33758122,51.3945814,-2.3599870,
41816107,51.3231734,-0.6336849,
54847569,50.9273989,-3.4013525,
59597577,50.9911122,-0.9611921,
60703130,51.5160210,-2.5448900,Stoke Gifford Toy Library
81514265,52.0105257,-0.0645166,
88586053,53.9336223,-0.5608903,
99133235,52.6564649,-1.8582687,
99391483,52.6374523,-1.8348262,
101537209,52.1353169,-0.0098364,
114408126,51.2381239,-1.0973442,
122955947,52.1655000,-1.2990595,
129742682,51.7410615,-2.2842972,
129772161,51.7128579,-2.3317055,Coaley Lending Library
153401248,51.5209239,-2.2448521,
185553177,50.7240416,-2.7506301,
197625756,57.4367537,-2.3535372,
207283807,51.9811595,-1.0115995,
246445021,51.5578834,-2.3476576,Horton Village - The Old Post Office
246838150,49.2816504,8.4732945,
248350992,51.5831137,9.8056558,Bücherzelle
250872187,51.7636801,-1.2110396,
250991959,55.0408677,-1.9541998,
251001447,54.1323297,-1.2481760,
251227505,51.8445321,0.9438410,Book Swap
252654504,51.7880839,-2.2723072,
252937922,52.0248392,-2.2389364,
252954578,51.9412354,-2.3626367,Upleadon Book Box
253250307,51.3314148,-1.1080879,Little London Book Exchange
253705280,51.5551373,-2.1102581,Corston VIllage Book Exchange
254087409,54.2691679,-1.7795892,
255006802,51.6033411,-2.1583062,
258127539,48.7071876,-0.5829143,
258769550,-36.8627532,174.7240955,
259019829,51.1468652,-0.6466736,
260658480,54.1082895,10.8993800,
262254871,53.1925008,-0.7296642,Book Exchange
262887708,51.6375559,-1.1366883,Community Book Exchange
263754381,33.8661283,-78.5157683,
266670911,51.4072260,-2.2584006,
266670914,51.4154621,-2.2649403,
269236933,52.1312715,-0.0309183,Wimpole Book Exchange
